9 11771 11689 10859 9585 8068 8034 6662 912 9399 9374 5999 1730 1502 1490 941 153 12301 11298 9176 9067 8128 7428 3659 3499 12092 11278 5083 4296 3389 2447 128 67 13363 13336 8600 6236 5759 5743 3925 39 5891 4106 2548 2286 2108 2108 1735 1656 774 704 617 516 451 420 226 88 1268 1087 968 926 778 665 320 204 8096 8096 7554 7529 3175 1004 467 294
0 10581 10581 9729 9585 7395 7395 6527 3621 9820 9753 6484 2352 1905 1897 1275 14 13722 12696 7851 7851 7284 5232 37 0 9282 9198 9076 8907 3279 1727 1111 941 720 647 569 502 456 419 263 61 6706 5913 5600 5527 4997 4982 4857 4588 12643 7542 5862 5847 5043 2416 39 16 7773 7741 7693 7670 7598 7570 4336 524 11572 11558 10944 7475 3287 3276 2429 1740
0 1852 1852 1830 1801 1727 1676 896 189 16773 16759 15582 10658 8176 8176 6653 834 13053 11342 6968 5056 4344 4332 2701 2548 15342 15342 14596 14596 7075 7055 6583 6408 396 368 349 332 276 216 89 30 15786 15784 15047 14171 7579 7547 6818 4933 12013 11740 11318 11292 7136 4284 1441 143 15610 15599 14676 9791 8312 8312 7130 189 3433 3426 2582 2436 192 141 36 21
5 6803 4959 4744 4664 4369 4341 4263 4248 10182 10182 4736 2015 1478 1411 52 17 12471 12465 8364 4285 4215 4179 1845 9 10429 9497 6174 4250 3664 3377 2849 2827 14857 14739 8588 8578 8492 8332 56 4 4119 4117 4080 4066 3084 3039 55 19 5598 5554 5539 5539 5146 5125 854 38 11041 10780 9874 8957 8469 8439 5748 52 9493 9482 8670 5563 2065 134 69 43
6 14419 14412 13483 12595 9325 9321 8082 3043 10277 10268 9020 2943 1744 1723 1210 24 365 359 286 267 208 197 103 13 13381 12791 11718 11072 6496 5265 2248 209 15679 15671 11387 7846 7813 7792 2691 26 11543 11524 8419 8418 8183 8094 43 26 14024 8393 5580 5580 4667 1246 18 0 6845 6845 6824 6819 6299 6137 1001 17 13319 12381 11488 8667 7570 7570 6623 3145
2 14380 14380 13559 12638 8434 7609 6536 2785 7935 7924 2771 280 209 198 51 10 13238 10983 9997 9997 8658 3250 422 404 5850 5843 4113 2042 308 271 143 6 1124 1102 1081 1073 1016 896 387 245 11849 11849 11826 11787 3650 3577 2725 2635 5971 5962 5950 5939 5899 5804 3287 236 12734 12734 11949 10129 8500 8091 5944 2740 7594 7594 6803 5785 4166 4026 431 0
4 11333 11333 11318 11266 5566 3965 3386 3369 459 428 411 403 307 211 33 0 6659 5387 5351 5336 5151 5143 4725 4453 11691 11578 7785 4742 3871 3169 572 114 13900 13896 9747 7102 7066 7066 2333 0 10546 8705 5338 4907 4876 4807 3970 1414 543 532 505 481 415 300 121 25 382 382 380 361 316 257 50 13 5118 1798 1790 1783 1767 1728 1602 1523
7 10570 10565 4784 2074 1553 1541 466 48 12969 12951 7215 4376 4346 4342 1473 37 18280 17482 14780 12425 7340 7334 5011 3935 272 245 219 203 176 143 47 22 14590 13970 10204 10204 9625 9625 6703 2502 13882 13879 11361 10337 5236 3398 14 6 330 277 259 247 187 125 60 13 15830 15830 15630 15534 6810 6810 6138 6066 374 325 275 227 176 166 102 18
3 7508 6873 3126 87 41 39 25 13 10951 10945 3287 2320 1848 1836 668 12 11920 11675 11236 11233 7888 4628 349 341 10827 10064 5900 5431 5409 5385 3423 540 16931 16919 9063 6553 6381 5990 3498 0 14095 13950 11704 9772 7981 7576 6 0 7806 7786 7768 7751 7268 7252 3687 24 5881 5878 5854 5816 5776 5739 3324 129 13530 11562 10602 6875 5873 5872 4885 2194
8 12832 11921 11026 10983 8125 7269 6458 3982 9478 9464 5286 1102 1068 1054 423 4 14539 12691 8809 8803 7565 7314 2480 1948 10487 9550 5482 5424 4935 4916 3655 161 19218 19072 13996 10109 9791 9651 4106 472 15513 15364 13886 9096 7110 6445 477 8 14434 14401 12747 12531 7430 6313 1737 1722 4329 4314 4303 4303 4246 4211 1006 29 12810 9929 8991 7508 6571 6560 5493 1760
1 8519 8052 5314 4426 4359 4343 3435 523 16567 14206 12152 12124 5494 3631 2679 453 242 228 190 152 67 38 20 13 219 193 175 159 107 91 50 15 14849 13042 12985 12981 6459 4719 4702 4662 320 288 250 205 135 108 56 10 4436 4419 4389 4383 4341 4284 970 28 15270 14607 14576 14576 9045 6804 5814 4867 4464 4457 4446 4446 4400 4363 1434 18
9 13096 13063 12216 9303 5910 5048 4208 924 7950 7935 3210 177 98 37 28 8 13757 13167 9476 9001 8067 8067 5135 2621 8973 8971 3933 2212 1742 1727 64 0 9468 9468 6506 3452 3414 3402 2453 9 9346 4001 2707 493 54 41 22 14 428 424 403 387 324 188 37 0 460 455 422 411 319 298 39 8 6174 4472 4463 4463 4438 4402 4283 4245
5 15496 13768 12871 10870 8281 6603 4793 4258 8056 8025 4063 1265 1209 1180 82 23 8269 8241 2569 336 268 230 89 27 15524 15325 12139 7863 6387 5019 1615 1441 12951 11587 8765 8728 8262 6112 881 52 550 483 354 291 210 193 95 42 4211 4195 4179 4159 4012 3929 2198 160 13872 13025 12632 10379 6427 5473 4507 2983 622 537 441 378 295 202 114 50
7 8034 8008 2951 1442 1059 1046 250 234 12256 11894 7640 6916 6654 6584 4139 2010 9168 9168 8558 5774 2139 1743 260 0 2861 2217 2200 2190 2171 2118 1395 494 9362 9164 8717 8670 7470 6940 4654 2590 2708 2688 2673 2655 2011 1739 8 4 496 468 389 375 321 267 170 60 11399 11015 9609 9293 4039 4028 3637 3331 7644 7611 3039 667 318 140 10 2
6 8930 8925 8241 7803 6409 6409 5565 1668 10594 10588 8339 3987 3736 3730 2849 0 7825 7821 4746 2832 1287 1030 45 7 8844 8654 8572 8534 4762 3242 2101 951 8171 8165 7631 7118 6738 6619 2149 91 4351 4346 4322 4318 3595 3566 58 23 8223 6221 3505 3019 1992 1324 650 545 6990 6978 6326 6295 5961 5957 1672 0 10015 8984 6436 5763 4461 4461 2371 1029
